Cas	He	Hs	Te	Ts	Diam_WR	WRyoung	offset	mu_ini	Force	G
1	11.2161	7.503	0	0	796.36298	216000	0	0	1115.75	0
1	11.4968	7.8673	1.398	0	796.36298	216000	0	0	1302.11	0
1	11.6235	8.0989	5.266	0	796.36298	216000	0	0	1265.16	0
1	11.7038	8.1482	11.779	0	796.36298	216000	0	0	1240.06	0
1	11.7612	8.1563	14.938	0	796.36298	216000	0	0	1253.8	0
1	11.7592	8.1488	16.059	0	796.36298	216000	0	0	1250.34	0
1	11.761	8.1564	16.473	0	796.36298	216000	0	0	1257.36	0
1	11.7799	8.1525	14.906	0	796.36298	216000	0	0	1261.81	0
1	11.7633	8.1678	15.111	0.187	796.36298	216000	0	0	1275.4	0
1	11.7858	8.2076	14.424	3.152	796.36298	216000	0	0	1314.9	0
1	11.7629	8.2132	12.214	8.382	796.36298	216000	0	0	1318.89	13.2
1	11.7886	8.1917	11.377	14.387	796.36298	216000	0	0	1299.6	10.8
1	11.8434	8.1823	11.696	15.904	796.36298	216000	165.7516513	0.379007504	1296.43	8.4
1	11.8217	8.1583	12.217	17.426	796.36298	216000	171.2126773	0.326922945	1279.41	8.3
1	11.8227	8.1598	12.86	17.344	796.36298	216000	185.1251014	0.268278465	1288.17	7.9
1	11.7955	8.1873	12.842	16.318	796.36298	216000	173.270401	0.346256768	1308.07	8.2
1	11.7682	8.1748	12.829	16.888	796.36298	216000	172.034708	0.345108595	1291.92	8.2
1	11.7778	8.1697	13.702	17.555	796.36298	216000	176.256288	0.315998289	1285.38	8.1
1	11.7485	8.1648	14.502	16.051	796.36298	216000	161.3392778	0.462271953	1283.77	8.3
1	11.7629	8.1658	15.509	14.813	796.36298	216000	163.5431701	0.415561211	1280.6	8.2
1	11.7773	8.1748	15.281	14.387	796.36298	216000	0	0	1295.11	8.4
1	11.7768	8.1756	14.416	14.142	796.36298	216000	0	0	1296.45	8.5
1	11.7691	8.1574	13.919	13.88	796.36298	216000	0	0	1286.92	8.5
1	11.7648	8.1638	13.835	13.45	796.36298	216000	0	0	1296.36	8.7
1	11.7462	8.1608	13.191	13.679	796.36298	216000	0	0	1294.1	8.8
1	11.7499	8.161	12.892	14.29	796.36298	216000	0	0	1290.32	8.6
1	11.7532	8.1543	13.484	14.61	796.36298	216000	0	0	1285.05	8.7
1	11.7564	8.1329	13.982	14.778	796.36298	216000	0	0	1276.5	8.7
1	11.777	8.119	14.576	15.143	796.36298	216000	0	0	1272.66	8.5
1	11.7595	8.1097	14.778	15.506	796.36298	216000	0	0	1271.23	8.6
1	11.7517	8.1008	14.367	14.745	796.36298	216000	0	0	1266.04	8.5
1	11.7535	8.107	13.836	15.047	796.36298	216000	0	0	1272.09	8.6
1	11.7568	8.1196	13.568	15.464	796.36298	216000	0	0	1277.98	8.6
1	11.7499	8.1344	13.665	15.697	796.36298	216000	0	0	1285.97	8.7
1	11.759	8.1428	13.384	15.545	796.36298	216000	0	0	1289.56	8.7
1	11.7787	8.1325	13.65	16.239	796.36298	216000	0	0	1285.27	8.7
1	11.7777	8.1348	13.674	16.782	796.36298	216000	0	0	1291.43	8.7
1	11.771	8.1433	13.889	16.521	796.36298	216000	0	0	1293.7	8.8
1	11.7814	8.1523	14.391	16.706	796.36298	216000	0	0	1303.03	8.7
