case	Errors	OffsetYield	Friction	Rolling_Torque	Sigma_Moy	Sigma_Ini	Sigma_Out	Sigma_Max	Force_Error(%)	Slip_Error(%)	Has_Converged
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	VOID	1.657517e+02	3.790075e-01	4.685914e+04	1.657517e+02	1.657517e+02	1.657517e+02	1.657517e+02	-5.867496e-05	-6.248968e-05	YES
1	VOID	1.712127e+02	3.269229e-01	4.819001e+04	1.712127e+02	1.712127e+02	1.712127e+02	1.712127e+02	-5.805577e-06	-7.604263e-05	YES
1	VOID	1.851251e+02	2.682785e-01	5.252416e+04	1.851251e+02	1.851251e+02	1.851251e+02	1.851251e+02	-8.346132e-06	-1.445504e-05	YES
1	VOID	1.732704e+02	3.462568e-01	4.848451e+04	1.732704e+02	1.732704e+02	1.732704e+02	1.732704e+02	-3.949981e-05	-2.218890e-05	YES
1	VOID	1.720347e+02	3.451086e-01	4.771129e+04	1.720347e+02	1.720347e+02	1.720347e+02	1.720347e+02	-3.624872e-05	-3.538321e-05	YES
1	VOID	1.762563e+02	3.159983e-01	4.923986e+04	1.762563e+02	1.762563e+02	1.762563e+02	1.762563e+02	-3.048348e-07	4.937818e-07	YES
1	VOID	1.613393e+02	4.622720e-01	4.542886e+04	1.613393e+02	1.613393e+02	1.613393e+02	1.613393e+02	-8.833052e-07	3.843418e-08	YES
1	VOID	1.635432e+02	4.155612e-01	4.705979e+04	1.635432e+02	1.635432e+02	1.635432e+02	1.635432e+02	-1.419562e-07	-1.713212e-06	YES
